transaction_id,account_id,merchant_id,transaction_date,amount,transaction_type
TXN85816212,ACC634930,MERCH24,2026-01-20 00:00:39.526003,11.08,purchase
TXN11874293,ACC872619,MERCH43,2025-02-08 00:00:39.526003,60.6,deposit
TXN61336271,ACC230695,MERCH39,2025-12-15 00:00:39.526003,31.58,purchase
TXN76515612,ACC937758,MERCH14,2025-10-22 00:00:39.526003,68.78,purchase
TXN38039231,ACC278356,MERCH2,2026-01-16 00:00:39.526003,65.01,purchase
TXN75661560,ACC999384,MERCH38,2026-01-01 00:00:39.526003,25.46,purchase
TXN86531890,ACC840164,MERCH43,2026-01-21 00:00:39.526003,112.86,withdrawal
TXN43494356,ACC756070,MERCH37,2025-11-13 00:00:39.526003,49.8,withdrawal
TXN56584713,ACC665236,MERCH24,2025-06-30 00:00:39.526003,18.08,deposit
TXN57169239,ACC987865,MERCH37,2025-05-06 00:00:39.526003,22.72,deposit
TXN22680154,ACC297390,MERCH22,2025-04-26 00:00:39.526003,22.06,deposit
TXN11337664,ACC338893,MERCH23,2025-02-17 00:00:39.526003,58.24,withdrawal
TXN17725134,ACC521505,MERCH43,2025-06-28 00:00:39.526003,33.04,purchase
TXN45570626,ACC338893,MERCH44,2026-01-26 00:00:39.526003,74.96,withdrawal
TXN63890259,ACC367861,MERCH34,2025-08-25 00:00:39.526003,91.25,purchase
TXN14968119,ACC459897,MERCH37,2025-06-21 00:00:39.526003,39.7,deposit
TXN16079679,ACC818578,MERCH40,2025-06-01 00:00:39.526003,122.35,withdrawal
TXN86926525,ACC112456,MERCH28,2025-12-25 00:00:39.526003,60.91,purchase
TXN40412074,ACC282048,MERCH41,2025-02-14 00:00:39.526003,28.54,withdrawal
TXN20417016,ACC277318,MERCH35,2025-03-12 00:00:39.526003,83.86,withdrawal
TXN82276387,ACC120517,MERCH43,2025-04-09 00:00:39.526003,42.09,deposit
TXN28310209,ACC601063,MERCH27,2025-03-14 00:00:39.526003,90.31,withdrawal
TXN82466305,ACC122662,MERCH19,2025-11-24 00:00:39.526003,86.34,deposit
TXN70567304,ACC120776,MERCH42,2025-11-03 00:00:39.526003,48.7,deposit
TXN71913666,ACC148435,MERCH16,2025-07-25 00:00:39.526003,87.68,purchase
TXN43450764,ACC522891,MERCH45,2025-06-05 00:00:39.526003,77.47,deposit
TXN53963030,ACC424281,MERCH36,2025-08-20 00:00:39.526003,81.88,withdrawal
TXN57654676,ACC158695,MERCH19,2025-07-06 00:00:39.526003,48.4,withdrawal
TXN38021719,ACC927240,MERCH13,2025-11-08 00:00:39.526003,32.41,withdrawal
TXN94523262,ACC910491,MERCH14,2025-07-26 00:00:39.526003,25.87,withdrawal
TXN67349622,ACC369668,MERCH34,2025-12-12 00:00:39.526003,46.68,withdrawal
TXN10917595,ACC208255,MERCH25,2026-01-26 00:00:39.526003,109.79,purchase
TXN76622216,ACC298300,MERCH46,2025-03-24 00:00:39.526003,48.01,purchase
TXN88508572,ACC217984,MERCH23,2025-04-23 00:00:39.526003,57.89,withdrawal
TXN35647057,ACC541449,MERCH50,2025-12-03 00:00:39.526003,77.49,withdrawal
TXN61664874,ACC722410,MERCH39,2025-10-20 00:00:39.526003,145.14,deposit
TXN85934595,ACC188773,MERCH41,2025-03-13 00:00:39.526003,19.66,withdrawal
TXN41846586,ACC157464,MERCH41,2025-07-20 00:00:39.526003,102.12,purchase
TXN62754856,ACC686404,MERCH17,2025-11-15 00:00:39.526003,42.95,withdrawal
TXN47234837,ACC231876,MERCH31,2025-04-14 00:00:39.526003,89.51,deposit
TXN61297601,ACC243804,MERCH27,2025-09-20 00:00:39.526003,23.62,withdrawal
TXN88965069,ACC236533,MERCH7,2025-06-01 00:00:39.526003,50.71,deposit
TXN34624636,ACC560953,MERCH42,2025-12-02 00:00:39.526003,59.81,deposit
TXN34518749,ACC723475,MERCH6,2025-06-11 00:00:39.526003,2.56,purchase
TXN48795021,ACC282048,MERCH19,2025-08-29 00:00:39.526003,106.54,deposit
TXN81507096,ACC158695,MERCH15,2025-07-20 00:00:39.526003,86.28,deposit
TXN22178260,ACC654417,MERCH28,2025-02-11 00:00:39.526003,68.72,deposit
TXN81671124,ACC868468,MERCH16,2025-09-16 00:00:39.526003,42.22,deposit
TXN72205102,ACC215940,MERCH1,2025-03-02 00:00:39.526003,88.98,deposit
TXN84350093,ACC790077,MERCH36,2025-04-06 00:00:39.526003,21.17,withdrawal
TXN17322140,ACC444012,MERCH12,2026-01-07 00:00:39.526003,19.09,purchase
TXN35883149,ACC367861,MERCH4,2025-12-22 00:00:39.526003,69.62,deposit
TXN12092571,ACC104384,MERCH49,2025-06-11 00:00:39.526003,43.77,withdrawal
TXN42972529,ACC360526,MERCH13,2025-12-16 00:00:39.526003,92.16,deposit
TXN46204413,ACC213202,MERCH50,2025-06-11 00:00:39.526003,18.72,deposit
TXN33810862,ACC308862,MERCH37,2025-04-25 00:00:39.526003,41.01,purchase
TXN34209112,ACC353259,MERCH35,2025-12-16 00:00:39.526003,20.87,deposit
TXN23152831,ACC365010,MERCH18,2025-08-15 00:00:39.526003,112.8,withdrawal
TXN91136914,ACC188773,MERCH45,2026-01-08 00:00:39.526003,149.03,withdrawal
TXN31959377,ACC370777,MERCH32,2025-07-01 00:00:39.526003,21.91,withdrawal
TXN90401068,ACC938311,MERCH7,2025-06-09 00:00:39.526003,7.32,withdrawal
TXN18385972,ACC961553,MERCH45,2025-10-13 00:00:39.526003,24.25,purchase
TXN17494107,ACC435181,MERCH2,2025-03-08 00:00:39.526003,12.32,deposit
TXN87754197,ACC995407,MERCH2,2025-03-18 00:00:39.526003,95.97,purchase
TXN35249913,ACC943720,MERCH8,2025-12-24 00:00:39.526003,70.49,withdrawal
TXN23781676,ACC549694,MERCH26,2025-06-08 00:00:39.526003,103.86,purchase
TXN20149577,ACC447113,MERCH20,2025-07-08 00:00:39.526003,24.42,purchase
TXN54748749,ACC922939,MERCH21,2025-12-26 00:00:39.526003,108.94,purchase
TXN44595286,ACC420338,MERCH1,2026-01-09 00:00:39.526003,54.47,withdrawal
TXN11689683,ACC541449,MERCH47,2025-11-07 00:00:39.526003,68.97,withdrawal
TXN60548954,ACC903971,MERCH6,2025-06-20 00:00:39.526003,62.99,deposit
TXN52079866,ACC114651,MERCH48,2025-07-12 00:00:39.526003,38.82,withdrawal
TXN66898985,ACC760431,MERCH9,2025-04-16 00:00:39.526003,27.92,purchase
TXN93078446,ACC740052,MERCH46,2025-03-26 00:00:39.526003,44.96,withdrawal
TXN35217536,ACC147649,MERCH16,2025-06-01 00:00:39.526003,25.83,purchase
TXN31601534,ACC336424,MERCH39,2025-03-02 00:00:39.526003,149.62,purchase
TXN93995487,ACC856419,MERCH49,2025-10-02 00:00:39.526003,21.9,purchase
TXN90790371,ACC622158,MERCH14,2025-08-04 00:00:39.526003,10.46,purchase
TXN50345876,ACC851289,MERCH3,2025-06-17 00:00:39.526003,6.11,deposit
TXN20263274,ACC766171,MERCH43,2025-11-13 00:00:39.526003,1.6,deposit
TXN93047560,ACC530324,MERCH36,2025-08-28 00:00:39.526003,52.71,deposit
TXN29166443,ACC857642,MERCH26,2025-06-28 00:00:39.526003,68.24,deposit
TXN46798909,ACC478078,MERCH14,2025-06-30 00:00:39.526003,116.21,purchase
TXN87876729,ACC722410,MERCH37,2026-01-09 00:00:39.526003,90.86,withdrawal
TXN28986466,ACC872619,MERCH5,2025-10-18 00:00:39.526003,165.03,withdrawal
TXN42615087,ACC278024,MERCH1,2025-07-11 00:00:39.526003,34.17,withdrawal
TXN88192162,ACC858102,MERCH15,2025-04-13 00:00:39.526003,75.17,deposit
TXN61202734,ACC173228,MERCH44,2025-10-30 00:00:39.526003,24.94,withdrawal
TXN38083879,ACC283495,MERCH48,2025-07-07 00:00:39.526003,99.11,withdrawal
TXN85685467,ACC164538,MERCH10,2025-03-27 00:00:39.526003,1.24,deposit
TXN26380237,ACC358039,MERCH23,2025-03-14 00:00:39.526003,41.5,deposit
TXN86337854,ACC901807,MERCH19,2025-07-24 00:00:39.526003,92.75,purchase
TXN83161434,ACC254998,MERCH48,2025-04-17 00:00:39.526003,45.08,purchase
TXN16726369,ACC420338,MERCH31,2025-03-07 00:00:39.526003,17.47,purchase
TXN58778552,ACC626143,MERCH43,2025-05-02 00:00:39.526003,39.3,deposit
TXN38769920,ACC225625,MERCH7,2026-01-02 00:00:39.526003,5.95,purchase
TXN34648120,ACC759664,MERCH46,2025-11-19 00:00:39.526003,66.23,purchase
TXN14428264,ACC342668,MERCH46,2025-11-09 00:00:39.526003,107.33,deposit
TXN45875841,ACC918667,MERCH7,2025-07-15 00:00:39.526003,24.82,deposit
TXN17345910,ACC283646,MERCH16,2025-09-30 00:00:39.526003,40.35,purchase
TXN48366994,ACC390913,MERCH47,2025-11-17 00:00:39.526003,67.6,purchase
TXN32247522,ACC872619,MERCH31,2025-03-04 00:00:39.526003,92.42,deposit
TXN49918121,ACC208255,MERCH35,2025-08-17 00:00:39.526003,6.25,withdrawal
TXN89036965,ACC225539,MERCH11,2025-06-01 00:00:39.526003,70.97,withdrawal
TXN74979570,ACC422514,MERCH2,2025-01-28 00:00:39.526003,84.85,withdrawal
TXN48114727,ACC755495,MERCH43,2025-03-20 00:00:39.526003,122.39,deposit
TXN67920016,ACC815250,MERCH1,2026-01-21 00:00:39.526003,25.48,withdrawal
TXN25974045,ACC709131,MERCH28,2025-10-27 00:00:39.526003,53.94,withdrawal
TXN56196535,ACC183081,MERCH37,2026-01-27 00:00:39.526003,77.31,deposit
TXN60969860,ACC743792,MERCH7,2025-11-05 00:00:39.526003,4.89,purchase
TXN98520257,ACC659496,MERCH29,2025-03-31 00:00:39.526003,34.44,withdrawal
TXN47353706,ACC753894,MERCH45,2025-10-16 00:00:39.526003,60.9,deposit
TXN93202453,ACC167773,MERCH9,2025-06-13 00:00:39.526003,20.51,purchase
TXN19176592,ACC653456,MERCH13,2025-08-07 00:00:39.526003,14.2,withdrawal
TXN81297984,ACC858102,MERCH41,2026-01-01 00:00:39.526003,100.91,deposit
TXN88807614,ACC306256,MERCH21,2025-08-18 00:00:39.526003,10.36,deposit
TXN54500095,ACC296944,MERCH14,2025-09-20 00:00:39.526003,102.73,withdrawal
TXN56128562,ACC488243,MERCH43,2025-03-11 00:00:39.526003,16.97,purchase
TXN22752637,ACC602897,MERCH50,2025-11-14 00:00:39.526003,59.69,deposit
TXN88835817,ACC305613,MERCH50,2025-04-16 00:00:39.526003,27.02,withdrawal
TXN70686469,ACC911668,MERCH5,2025-03-16 00:00:39.526003,31.8,purchase
TXN61542344,ACC722129,MERCH23,2025-07-17 00:00:39.526003,25.97,deposit
TXN67974176,ACC762461,MERCH48,2025-03-24 00:00:39.526003,77.91,withdrawal
TXN92966764,ACC943720,MERCH8,2025-05-04 00:00:39.526003,51.7,withdrawal
TXN68963137,ACC647880,MERCH21,2025-05-15 00:00:39.526003,70.14,purchase
TXN86245517,ACC592532,MERCH9,2025-11-02 00:00:39.526003,46.88,withdrawal
TXN11375731,ACC911001,MERCH37,2025-04-21 00:00:39.526003,16.62,withdrawal
TXN60738320,ACC254998,MERCH37,2025-10-20 00:00:39.526003,44.32,purchase
TXN90337699,ACC225625,MERCH36,2025-04-08 00:00:39.526003,64.36,withdrawal
TXN96335235,ACC918667,MERCH20,2025-08-21 00:00:39.526003,108.5,purchase
TXN16614663,ACC497736,MERCH17,2025-10-20 00:00:39.526003,34.97,withdrawal
TXN13003978,ACC544394,MERCH8,2025-04-19 00:00:39.526003,60.06,purchase
TXN80182061,ACC532918,MERCH46,2025-08-01 00:00:39.526003,92.14,deposit
TXN32065413,ACC352057,MERCH45,2025-04-12 00:00:39.526003,86.44,purchase
TXN56250113,ACC496755,MERCH49,2025-10-31 00:00:39.526003,44.21,deposit
TXN55885977,ACC494584,MERCH6,2025-05-18 00:00:39.526003,120.42,withdrawal
TXN39700383,ACC247066,MERCH8,2025-02-07 00:00:39.526003,87.81,withdrawal
TXN46379941,ACC964616,MERCH17,2025-05-10 00:00:39.526003,29.93,purchase
TXN95072328,ACC703779,MERCH49,2025-12-30 00:00:39.526003,75.17,withdrawal
TXN64225340,ACC911001,MERCH24,2025-03-10 00:00:39.526003,20.69,purchase
TXN52984035,ACC841842,MERCH9,2025-09-21 00:00:39.526003,65.91,purchase
TXN30700501,ACC748988,MERCH30,2025-04-21 00:00:39.526003,18.18,withdrawal
TXN62580239,ACC194440,MERCH27,2025-08-02 00:00:39.526003,106.43,deposit
TXN91431636,ACC635368,MERCH11,2025-04-06 00:00:39.526003,30.31,purchase
TXN74430725,ACC851289,MERCH25,2025-06-30 00:00:39.526003,88.55,deposit
TXN93480037,ACC297494,MERCH43,2025-07-16 00:00:39.526003,22.09,deposit
TXN96657673,ACC901807,MERCH36,2025-09-08 00:00:39.526003,89.09,deposit
TXN41889061,ACC900503,MERCH1,2026-01-11 00:00:39.526003,85.12,deposit
TXN75349428,ACC340533,MERCH27,2026-01-27 00:00:39.526003,2.3,purchase
TXN30185713,ACC689009,MERCH48,2025-10-02 00:00:39.526003,35.47,deposit
TXN36275826,ACC659186,MERCH2,2025-06-02 00:00:39.526003,54.01,withdrawal
TXN73136233,ACC120517,MERCH48,2025-05-25 00:00:39.526003,77.59,purchase
TXN80583101,ACC924609,MERCH24,2025-12-10 00:00:39.526003,0.77,purchase
TXN86514188,ACC514744,MERCH45,2025-06-15 00:00:39.526003,61.01,purchase
TXN56315908,ACC397885,MERCH41,2026-01-07 00:00:39.526003,87.65,withdrawal
TXN80806572,ACC759664,MERCH1,2025-03-21 00:00:39.526003,29.41,deposit
TXN19591482,ACC903943,MERCH45,2025-05-14 00:00:39.526003,66.6,purchase
TXN11051919,ACC840164,MERCH30,2025-09-09 00:00:39.526003,59.14,deposit
TXN79988021,ACC512638,MERCH15,2025-10-16 00:00:39.526003,26.88,withdrawal
TXN37603563,ACC279041,MERCH28,2025-06-29 00:00:39.526003,29.02,withdrawal
TXN70701656,ACC424281,MERCH23,2025-03-03 00:00:39.526003,114.0,withdrawal
TXN96903057,ACC345127,MERCH26,2025-09-04 00:00:39.526003,35.3,purchase
TXN99456103,ACC987865,MERCH48,2025-07-11 00:00:39.526003,70.97,purchase
TXN43889653,ACC191771,MERCH44,2025-06-07 00:00:39.526003,67.93,withdrawal
TXN21341959,ACC176249,MERCH42,2025-11-14 00:00:39.526003,99.5,deposit
TXN38189728,ACC562363,MERCH4,2025-04-13 00:00:39.526003,75.68,purchase
TXN39908926,ACC482681,MERCH9,2025-09-16 00:00:39.526003,56.87,withdrawal
TXN41701896,ACC114651,MERCH46,2026-01-11 00:00:39.526003,73.34,deposit
TXN74746352,ACC481430,MERCH8,2025-12-08 00:00:39.526003,20.33,purchase
TXN90791936,ACC280248,MERCH16,2025-11-21 00:00:39.526003,47.78,withdrawal
TXN88643736,ACC694639,MERCH17,2025-12-06 00:00:39.526003,89.3,withdrawal
TXN98588302,ACC340533,MERCH50,2025-03-30 00:00:39.526003,102.91,deposit
TXN78652216,ACC265440,MERCH8,2025-05-10 00:00:39.526003,118.54,purchase
TXN32409847,ACC585175,MERCH21,2025-04-15 00:00:39.526003,8.95,deposit
TXN65427643,ACC798123,MERCH19,2025-06-22 00:00:39.526003,43.09,withdrawal
TXN42352021,ACC794550,MERCH1,2025-12-15 00:00:39.526003,11.76,withdrawal
TXN82924003,ACC146435,MERCH24,2025-07-24 00:00:39.526003,31.89,withdrawal
TXN54556269,ACC496755,MERCH26,2025-12-06 00:00:39.526003,47.83,purchase
TXN32240519,ACC659955,MERCH4,2025-11-17 00:00:39.526003,58.55,deposit
TXN11818106,ACC838117,MERCH43,2026-01-18 00:00:39.526003,78.85,withdrawal
TXN38529938,ACC593149,MERCH38,2025-10-30 00:00:39.526003,4.62,withdrawal
TXN66777001,ACC243966,MERCH13,2025-08-20 00:00:39.526003,69.09,withdrawal
TXN42402502,ACC547345,MERCH17,2025-05-11 00:00:39.526003,137.66,deposit
TXN17997001,ACC209157,MERCH31,2025-05-23 00:00:39.526003,92.61,purchase
TXN94670500,ACC430078,MERCH8,2025-02-28 00:00:39.526003,17.6,deposit
TXN81460409,ACC804895,MERCH6,2025-01-28 00:00:39.526003,116.85,purchase
TXN41207051,ACC919902,MERCH4,2025-07-04 00:00:39.526003,12.59,deposit
TXN76324458,ACC121319,MERCH20,2025-11-09 00:00:39.526003,56.7,purchase
TXN21332621,ACC260525,MERCH30,2025-03-31 00:00:39.526003,59.95,deposit
TXN83298116,ACC906247,MERCH28,2025-08-16 00:00:39.526003,3.32,deposit
TXN86305245,ACC586166,MERCH6,2025-05-17 00:00:39.526003,63.03,deposit
TXN12548390,ACC740052,MERCH33,2025-11-28 00:00:39.526003,94.06,withdrawal
TXN18873886,ACC156536,MERCH16,2025-05-31 00:00:39.526003,90.87,purchase
TXN96726205,ACC123193,MERCH25,2025-09-23 00:00:39.526003,2.49,withdrawal
TXN21896913,ACC158810,MERCH37,2025-02-19 00:00:39.526003,55.62,deposit
TXN60179446,ACC668239,MERCH23,2025-11-24 00:00:39.526003,121.37,withdrawal
TXN49849730,ACC653456,MERCH6,2025-04-15 00:00:39.526003,54.81,purchase
TXN37130354,ACC326458,MERCH32,2025-12-20 00:00:39.526003,11.42,deposit
TXN77923292,ACC532918,MERCH9,2025-09-03 00:00:39.526003,40.03,withdrawal
TXN43477909,ACC707756,MERCH11,2025-03-12 00:00:39.526003,122.85,withdrawal
TXN82144223,ACC262746,MERCH11,2025-04-15 00:00:39.526003,40.79,purchase
TXN33132622,ACC279041,MERCH30,2025-03-11 00:00:39.526003,13.24,purchase
TXN96613450,ACC900503,MERCH32,2025-08-18 00:00:39.526003,5.54,purchase
TXN55480306,ACC104175,MERCH8,2025-10-11 00:00:39.526003,43.53,purchase
TXN19516352,ACC714302,MERCH30,2025-07-22 00:00:39.526003,66.35,deposit
TXN52819814,ACC777432,MERCH41,2025-08-29 00:00:39.526003,7.55,withdrawal
TXN86348285,ACC215917,MERCH23,2025-08-03 00:00:39.526003,90.92,deposit
TXN21722892,ACC123193,MERCH29,2025-11-19 00:00:39.526003,35.83,withdrawal
TXN68564031,ACC452203,MERCH38,2025-03-23 00:00:39.526003,66.42,withdrawal
TXN71281744,ACC605228,MERCH31,2025-06-17 00:00:39.526003,19.14,withdrawal
TXN89981291,ACC847339,MERCH6,2025-03-07 00:00:39.526003,36.76,deposit
TXN91986902,ACC469892,MERCH9,2025-10-02 00:00:39.526003,48.6,purchase
TXN15839995,ACC945255,MERCH4,2025-04-05 00:00:39.526003,48.78,purchase
TXN15106778,ACC858102,MERCH46,2025-12-30 00:00:39.526003,15.03,withdrawal
TXN35481624,ACC223628,MERCH23,2025-06-14 00:00:39.526003,43.03,deposit
TXN22758612,ACC566107,MERCH3,2025-09-18 00:00:39.526003,47.96,purchase
TXN84468954,ACC766891,MERCH31,2025-07-06 00:00:39.526003,46.44,purchase
TXN64300184,ACC488243,MERCH1,2025-02-17 00:00:39.526003,39.84,purchase
TXN18972963,ACC521299,MERCH36,2025-06-16 00:00:39.526003,54.36,withdrawal
TXN62145510,ACC295318,MERCH16,2025-12-27 00:00:39.526003,81.01,deposit
TXN86197338,ACC253803,MERCH31,2025-09-02 00:00:39.526003,144.82,purchase
TXN32301611,ACC680598,MERCH1,2026-01-22 00:00:39.526003,108.98,deposit
TXN90865416,ACC494703,MERCH5,2025-09-12 00:00:39.526003,67.91,deposit
TXN21299132,ACC709800,MERCH41,2025-05-15 00:00:39.526003,118.68,purchase
TXN72345034,ACC466075,MERCH31,2025-11-01 00:00:39.526003,3.49,purchase
TXN18086866,ACC279023,MERCH38,2025-02-27 00:00:39.526003,70.22,purchase
TXN57411938,ACC748988,MERCH14,2025-10-25 00:00:39.526003,131.92,withdrawal
TXN28859763,ACC960572,MERCH27,2025-02-18 00:00:39.526003,114.73,purchase
TXN96204898,ACC104384,MERCH12,2025-08-06 00:00:39.526003,1.29,purchase
TXN31813175,ACC305613,MERCH30,2025-06-06 00:00:39.526003,87.55,purchase
TXN46804795,ACC905390,MERCH37,2025-06-19 00:00:39.526003,28.77,purchase
TXN84100642,ACC862532,MERCH11,2025-11-27 00:00:39.526003,28.55,purchase
TXN98279931,ACC635200,MERCH32,2025-07-08 00:00:39.526003,76.67,deposit
TXN12494264,ACC546274,MERCH5,2025-12-17 00:00:39.526003,34.82,withdrawal
TXN38751095,ACC637743,MERCH48,2025-06-18 00:00:39.526003,11.73,withdrawal
TXN94312635,ACC187512,MERCH23,2026-01-18 00:00:39.526003,119.34,withdrawal
TXN53811682,ACC637743,MERCH40,2025-02-14 00:00:39.526003,10.03,withdrawal
TXN10584536,ACC946823,MERCH45,2025-07-24 00:00:39.526003,19.21,purchase
TXN23496086,ACC193626,MERCH12,2025-06-13 00:00:39.526003,56.75,purchase
TXN72441276,ACC834749,MERCH18,2025-02-04 00:00:39.526003,34.45,purchase
TXN39850033,ACC444012,MERCH39,2025-06-15 00:00:39.526003,20.94,withdrawal
TXN78181359,ACC865727,MERCH44,2025-06-16 00:00:39.526003,24.84,withdrawal
TXN46846467,ACC714302,MERCH1,2026-01-05 00:00:39.526003,57.54,withdrawal
TXN42975596,ACC336424,MERCH4,2025-07-20 00:00:39.526003,55.23,withdrawal
TXN12866752,ACC712464,MERCH44,2025-06-05 00:00:39.526003,76.33,purchase
TXN27740638,ACC687166,MERCH30,2025-07-22 00:00:39.526003,11.6,withdrawal
TXN76354689,ACC420688,MERCH12,2025-04-18 00:00:39.526003,27.34,deposit
TXN18206896,ACC769203,MERCH44,2025-10-19 00:00:39.526003,54.79,withdrawal
TXN37330895,ACC534490,MERCH45,2025-11-08 00:00:39.526003,25.85,withdrawal
TXN39285888,ACC105242,MERCH45,2025-07-04 00:00:39.526003,115.63,withdrawal
TXN78016220,ACC747399,MERCH17,2025-03-10 00:00:39.526003,72.93,purchase
TXN37183901,ACC781583,MERCH5,2025-10-23 00:00:39.526003,49.04,withdrawal
TXN61378747,ACC708477,MERCH13,2025-08-08 00:00:39.526003,37.98,deposit
TXN21454583,ACC545442,MERCH21,2025-04-26 00:00:39.526003,29.95,deposit
TXN14708039,ACC635906,MERCH27,2025-10-05 00:00:39.526003,52.43,purchase
TXN65573094,ACC883410,MERCH17,2026-01-08 00:00:39.526003,43.51,withdrawal
TXN72256184,ACC860534,MERCH44,2025-12-24 00:00:39.526003,82.51,purchase
TXN97895477,ACC892564,MERCH45,2025-12-18 00:00:39.526003,23.72,withdrawal
TXN56317673,ACC494584,MERCH37,2025-08-10 00:00:39.526003,18.6,deposit
TXN70194372,ACC804895,MERCH32,2025-06-06 00:00:39.526003,75.74,deposit
TXN96958427,ACC700981,MERCH19,2025-07-12 00:00:39.526003,12.29,deposit
TXN95963487,ACC273393,MERCH21,2025-03-12 00:00:39.526003,99.29,deposit
TXN19625196,ACC466075,MERCH19,2025-09-26 00:00:39.526003,23.49,withdrawal
TXN40119493,ACC943193,MERCH14,2025-11-21 00:00:39.526003,54.82,deposit
TXN88350802,ACC174496,MERCH4,2025-08-01 00:00:39.526003,69.08,withdrawal
TXN20475275,ACC564662,MERCH41,2025-12-07 00:00:39.526003,40.08,purchase
TXN65623701,ACC460174,MERCH18,2026-01-04 00:00:39.526003,47.37,withdrawal
TXN86787928,ACC485601,MERCH41,2025-08-16 00:00:39.526003,5.61,withdrawal
TXN34285097,ACC198581,MERCH15,2025-12-13 00:00:39.526003,59.47,purchase
TXN34460635,ACC164618,MERCH7,2025-07-07 00:00:39.526003,50.45,deposit
TXN80887246,ACC437401,MERCH50,2026-01-05 00:00:39.526003,92.94,withdrawal
TXN99712126,ACC217984,MERCH36,2025-12-07 00:00:39.526003,45.66,withdrawal
TXN41110783,ACC910491,MERCH25,2025-10-23 00:00:39.526003,4.26,withdrawal
TXN81729210,ACC116054,MERCH20,2025-02-04 00:00:39.526003,91.26,deposit
TXN23815705,ACC995407,MERCH41,2025-07-07 00:00:39.526003,41.44,deposit
TXN79025017,ACC924609,MERCH1,2026-01-10 00:00:39.526003,21.41,withdrawal
TXN84647690,ACC336286,MERCH21,2025-08-10 00:00:39.526003,19.49,purchase
TXN29464509,ACC335190,MERCH48,2025-09-20 00:00:39.526003,56.91,purchase
TXN94191161,ACC989061,MERCH23,2025-04-18 00:00:39.526003,72.99,deposit
TXN95440545,ACC673088,MERCH16,2025-08-17 00:00:39.526003,12.61,withdrawal
TXN26471915,ACC738917,MERCH31,2025-03-04 00:00:39.526003,90.08,withdrawal
